Source,Target,Class,Type
R000479,R003404,membership,Directed
R000479,R001795,membership,Directed
R000969,R004624,membership,Directed
R000969,R001795,membership,Directed
R000969,R000328,membership,Directed
R000969,R003404,membership,Directed
R001794,R001564,membership,Directed
R001794,R002357,membership,Directed
R001794,R002111,membership,Directed
R001794,R000257,membership,Directed
R001794,R000747,membership,Directed
R001794,R001392,membership,Directed
R001794,R000328,membership,Directed
R001732,R000672,membership,Directed
R001732,R002231,membership,Directed
R001732,R002709,membership,Directed
R001732,R001795,membership,Directed
R001732,R002357,membership,Directed
R001732,R002737,membership,Directed
R001842,R000672,membership,Directed
R001842,R003404,membership,Directed
R001842,R001564,membership,Directed
R001842,R002357,membership,Directed
R001842,R002737,membership,Directed
R002164,R002357,membership,Directed
R002164,R000672,membership,Directed
R002164,R001392,membership,Directed
R002164,R003404,membership,Directed
R002164,R001795,membership,Directed
R001238,R003404,membership,Directed
R003411,R003134,membership,Directed
R003411,R000747,membership,Directed
R003411,R000780,membership,Directed
R003411,R002737,membership,Directed
R003411,R002709,membership,Directed
R001784,R002357,membership,Directed
R001784,R002111,membership,Directed
R001784,R000257,membership,Directed
R001784,R002806,membership,Directed
R001784,R000903,membership,Directed
R001784,R000479,membership,Directed
R001784,R003145,membership,Directed
R001784,R003990,membership,Directed
R000798,R001564,membership,Directed
R000798,R001795,membership,Directed
R002043,R000672,membership,Directed
R002043,R001392,membership,Directed
R002043,R001795,membership,Directed
R002230,R000479,membership,Directed
R002230,R000747,membership,Directed
R003007,R001564,membership,Directed
R003007,R001795,membership,Directed
R000912,R000798,membership,Directed
R000912,R001795,membership,Directed
R000912,R000328,membership,Directed
R002214,R002936,membership,Directed
R002214,R001181,membership,Directed
R002215,R001795,membership,Directed
R002709,R000328,membership,Directed
R002709,R001795,membership,Directed
R002709,R003404,membership,Directed
R001443,R003404,membership,Directed
R001443,R000328,membership,Directed
R001443,R001795,membership,Directed
R001443,R002884,membership,Directed
R005046,R000747,membership,Directed
R005046,R000780,membership,Directed
R001607,R002709,membership,Directed
R001607,R000672,membership,Directed
R000773,R000672,membership,Directed
R000773,R003134,membership,Directed
R000773,R002955,membership,Directed
R001439,R000672,membership,Directed
R001439,R002525,membership,Directed
R001391,R002709,membership,Directed
R002001,R002884,membership,Directed
R001180,R000672,membership,Directed
R001180,R002357,membership,Directed
R001930,R002509,membership,Directed
R001576,R001795,membership,Directed
R001576,R002525,membership,Directed
R002746,R000798,membership,Directed
R003476,R003404,membership,Directed
R003476,R001208,membership,Directed
R002994,R000672,membership,Directed
R002994,R002215,membership,Directed
R002994,R002231,membership,Directed
R002994,R002737,membership,Directed
R002994,R002955,membership,Directed
R003939,R000672,membership,Directed
R003939,R001208,membership,Directed
R001345,R000672,membership,Directed
R001345,R001564,membership,Directed
R001345,R003404,membership,Directed
R001345,R001795,membership,Directed
R002467,R002215,membership,Directed
R002467,R002231,membership,Directed
R002467,R002737,membership,Directed
R002603,R002509,membership,Directed
R002997,R000672,membership,Directed
R003005,R000672,membership,Directed
R003005,R000747,membership,Directed
R001450,R000672,membership,Directed
R001108,R001564,membership,Directed
R003231,R002203,membership,Directed
R003231,R002709,membership,Directed
R002729,R002111,membership,Directed
R001878,R000672,membership,Directed
R001878,R003404,membership,Directed
R001878,R003682,membership,Directed
R001878,R001919,membership,Directed
R001762,R000672,membership,Directed
R001762,R000328,membership,Directed
R001762,R001392,membership,Directed
R001102,R001564,membership,Directed
R003454,R000672,membership,Directed
R001932,R002884,membership,Directed
R001859,R000672,membership,Directed
R001859,R002737,membership,Directed
R003383,R000672,membership,Directed
R003383,R000328,membership,Directed
R001275,R000672,membership,Directed
R002009,R000672,membership,Directed
R002009,R000479,membership,Directed
R002009,R000747,membership,Directed
R002009,R001564,membership,Directed
R002353,R000672,membership,Directed
R003924,R002231,membership,Directed
R003924,R000672,membership,Directed
R003924,R000088,membership,Directed
R004158,R000672,membership,Directed
R004158,R001317,membership,Directed
R002174,R001564,membership,Directed
R002174,R002357,membership,Directed
R001364,R001564,membership,Directed
R001364,R002357,membership,Directed
R001364,R000672,membership,Directed
R001364,R000328,membership,Directed
R001364,R001392,membership,Directed
R002328,R002709,membership,Directed
R002328,R002215,membership,Directed
R002328,R002231,membership,Directed
R003121,R000672,membership,Directed
R001195,R002737,membership,Directed
R001195,R003404,membership,Directed
R001195,R000672,membership,Directed
R001195,R002203,membership,Directed
R002405,R000672,membership,Directed
R000992,R001930,membership,Directed
R000992,R002603,membership,Directed
R000977,R000672,membership,Directed
R001673,R002884,membership,Directed
R000469,R000672,membership,Directed
R000469,R001564,membership,Directed
R002771,R000672,membership,Directed
R002930,R000672,membership,Directed
R002157,R003145,membership,Directed
R001120,R003404,membership,Directed
R001120,R000672,membership,Directed
R001120,R001795,membership,Directed
R001882,R002338,membership,Directed
R003955,R000484,membership,Directed
R003841,R001795,membership,Directed
R003841,R002955,membership,Directed
R003599,R000672,membership,Directed
